start_train,end_train,MAE,RMSE,MAPE,OSE
2019-02-03 00:00:00,2019-03-09 23:00:00,4.577912907870534,6.428914271573276,36.66545080792716,5.12940589942877
2019-02-03 00:00:00,2019-03-23 23:00:00,3.942981494326486,5.152293818880527,44.8735907796455,4.2609741908283265
2019-02-03 00:00:00,2019-04-06 23:00:00,3.4598588638360135,4.542003915710543,33.961366446056125,3.961448149040384
2019-02-03 00:00:00,2019-04-20 23:00:00,4.212521054201491,5.476436878819238,29.647208893185173,4.818446974160309
2019-02-03 00:00:00,2019-05-04 23:00:00,4.530395697624703,5.960262188748072,35.97754621647739,5.183719218642029
2019-02-03 00:00:00,2019-05-18 23:00:00,4.717063360980954,6.072318292006052,40.5999455695216,5.452852724591812
2019-02-03 00:00:00,2019-06-01 23:00:00,3.525897472743157,4.5427535036778135,34.41714126401932,3.960403054157221
2019-02-03 00:00:00,2019-06-15 23:00:00,4.29035802753363,5.482396488860232,32.13222176332978,4.2848226923190476
2019-02-03 00:00:00,2019-06-29 23:00:00,4.778711478979763,5.962935708218387,38.73970263641096,5.290087673531659
2019-02-03 00:00:00,2019-07-13 23:00:00,4.040852415422619,5.220481714148239,33.23307592466196,4.3602306217464495
2019-02-03 00:00:00,2019-07-27 23:00:00,4.553523702992261,5.6644576039009085,46.57038799682698,4.279111699856916
2019-02-03 00:00:00,2019-08-10 23:00:00,3.6880155544559523,4.751616866755675,33.438176409682264,4.188790116943503
2019-02-03 00:00:00,2019-08-24 23:00:00,5.455345690418887,7.109915371776473,44.37484415225103,6.383373837966804
2019-02-03 00:00:00,2019-09-07 23:00:00,5.142691293642858,6.41758654566666,39.646069391730705,5.748490942376783
2019-02-03 00:00:00,2019-09-21 23:00:00,5.003778383132145,6.255517063105095,37.70336797057502,5.2695678246621
2019-02-03 00:00:00,2019-10-05 23:00:00,4.930212663045238,6.5805422815706045,31.117183664944047,5.75507758798646
2019-02-03 00:00:00,2019-10-19 23:00:00,4.5625221239678595,5.826792412374466,38.48139801535393,5.166527737911226
2019-02-03 00:00:00,2019-11-02 23:00:00,4.489562921582738,5.877740794821205,44.465449738374,5.15202517858683
2019-02-03 00:00:00,2019-11-16 23:00:00,5.067289947752679,6.251067629823479,44.16560433277332,5.589081803534043
2019-02-03 00:00:00,2019-11-30 23:00:00,5.025123331516667,6.553467337828087,35.562360387071166,6.057319675973583
2019-02-03 00:00:00,2019-12-14 23:00:00,6.0950192965238115,7.639525349298521,41.19653226419906,7.144513654486731
2019-02-03 00:00:00,2019-12-28 23:00:00,5.714326022633033,7.1970893578423825,39.15998598720526,6.498390895180839
2019-02-03 00:00:00,2020-01-11 23:00:00,5.723092037301192,7.279167962005647,46.528846069179636,6.3750046932735
2019-02-03 00:00:00,2020-01-25 23:00:00,5.073153370902381,6.333537780568483,39.12052590999431,5.799867762086385
2019-02-03 00:00:00,2020-01-25 23:00:00,5.210287760409526,6.504400389001926,40.38032205516789,5.965891621833023
2019-02-03 00:00:00,2020-02-08 23:00:00,4.709822084219939,5.894438503038123,39.13478196106439,5.340497062203502
2019-02-03 00:00:00,2020-02-22 23:00:00,4.197459663663988,5.325074031424323,26.00685742097132,4.5353151957181375
2019-02-03 00:00:00,2020-03-07 23:00:00,4.262153872423513,5.516080542942594,40.64476689969828,5.128018033568255
